country,pdi,idv,mas,uai,ltowvs,ivr
South Africa,55.508791934162275,45.49957366371309,49.2721314855076,67.14137707749171,34.0,63.0
South Africa white,49.0,65.0,63.0,49.0,49.165269534877396,51.57119112068337
Spain,57.0,51.0,42.0,86.0,48.0,44.0
Suriname,85.0,47.0,37.0,92.0,49.7543189445267,30.66485454282123
Sweden,31.0,71.0,5.0,29.0,53.0,78.0
Switzerland,34.0,68.0,70.0,58.0,74.0,66.0
Switzerland French,70.0,64.0,58.0,70.0,51.91881225573768,40.03829546389306
Switzerland German,26.0,69.0,72.0,56.0,47.01486802600412,63.63973275527432
Taiwan,58.0,17.0,45.0,69.0,93.0,49.0
Tanzania,65.78424382765328,38.90379839130129,49.260420687957485,68.40827143557746,34.0,38.0
Thailand,64.0,20.0,34.0,64.0,32.0,45.0
Trinidad and Tobago,47.0,16.0,58.0,55.0,13.0,80.0
Turkey,66.0,37.0,45.0,85.0,46.0,49.0
U.S.A.,40.0,91.0,62.0,46.0,26.0,68.0
Uganda,61.89534445609756,39.88070700161351,49.26380908240882,67.9086621327979,24.0,52.0
Ukraine,65.94883846364857,46.698826949425566,49.26566051362837,68.53326202304777,86.0,14.0
Uruguay,61.0,36.0,38.0,100.0,26.0,53.0
Venezuela,81.0,12.0,73.0,76.0,16.0,100.0
Vietnam,70.0,20.0,40.0,30.0,57.0,35.0
Zambia,64.88631300021443,38.872432217991815,49.261026554694816,68.28950895338312,30.0,42.0
Zimbabwe,73.43859659376825,31.10370975208364,49.24971402980165,69.31374710053385,15.0,28.0
,60.61980707163207,43.94920964281391,49.26749545141006,67.79445202389286,45.388827644523005,45.3967108674817
